h3_res10,historical_station,corrected_rank,normalized_propensity,reference_duration_s,live_eta_duration_s,travel_time_index,delay_seconds,congestion_severity,congestion_label,baseline_status,live_observation_valid,baseline_usable,directional_coverage_status,poll_cycle_id,pic_score,pic_status,pic_rank,pic_percentile,whitefield_pic_rank,whitefield_pic_percentile,neighbor_count_total,neighbor_count_valid,neighbor_median_severity,localized_anomaly,localized_anomaly_positive,localized_anomaly_status,historical_confidence,baseline_confidence,live_observation_confidence,directional_confidence,overall_pic_confidence
8a6189219cc7fff,WHITEFIELD,77.0,0.2888678967021208,46.2,72.5,1.5692640692640691,26.299999999999997,0.36275862068965514,HIGH,PROVISIONAL_MAPPLS_NON_TRAFFIC,True,True,ONE_DIRECTION_VALID,20260622_190758_phase3_cycle_190801,0.10478931976918313,COMPUTED,2,0.8,2,0.8,1,1,,,,INSUFFICIENT_VALID_NEIGHBORS,0.85,0.45,1.0,0.6,0.725
8a61892086a7fff,WHITEFIELD,129.0,0.24027215495775323,69.7,130.3,1.8694404591104736,60.60000000000001,0.4650805832693784,HIGH,PROVISIONAL_MAPPLS_NON_TRAFFIC,True,True,BOTH_DIRECTIONS_VALID,20260622_190758_phase3_cycle_190801,0.11174591397114234,COMPUTED,1,1.0,1,1.0,0,0,,,,NO_MONITORED_NEIGHBORS,0.7,0.45,1.0,1.0,0.7875
8a6189219ceffff,WHITEFIELD,214.0,0.21184759984696772,88.1,86.6,0.9829738933030647,0.0,0.0,NORMAL,PROVISIONAL_MAPPLS_NON_TRAFFIC,True,True,ONE_DIRECTION_VALID,20260622_190758_phase3_cycle_190801,0.0,COMPUTED,5,0.2,5,0.2,1,1,,,,INSUFFICIENT_VALID_NEIGHBORS,0.7,0.45,1.0,0.6,0.6875
8a618920ac1ffff,WHITEFIELD,276.0,0.1985271962433024,83.1,95.3,1.1468110709987966,12.200000000000003,0.12801678908709346,NORMAL,PROVISIONAL_MAPPLS_NON_TRAFFIC,True,True,BOTH_DIRECTIONS_VALID,20260622_190758_phase3_cycle_190801,0.025414814209530855,COMPUTED,4,0.4,4,0.4,0,0,,,,NO_MONITORED_NEIGHBORS,0.85,0.45,1.0,1.0,0.825
8a6189218a07fff,WHITEFIELD,282.0,0.19741256171092098,76.4,110.5,1.4463350785340312,34.099999999999994,0.3085972850678732,MODERATE,PROVISIONAL_MAPPLS_NON_TRAFFIC,True,True,ONE_DIRECTION_VALID,20260622_190758_phase3_cycle_190801,0.06092098058228419,COMPUTED,3,0.6,3,0.6,0,0,,,,NO_MONITORED_NEIGHBORS,0.7,0.45,1.0,0.6,0.6875
