physical_segment_id,h3_res10,a_to_b_eta_s,b_to_a_eta_s,a_to_b_severity,b_to_a_severity,reference_duration_s,baseline_status,maximum_severity,mean_severity,maximum_severity_direction,valid_direction_count,directional_coverage_status
pseg_b32a4f277162e4d2,8a6189219cc7fff,72.5,,0.36275862068965514,,46.2,PROVISIONAL_MAPPLS_NON_TRAFFIC,0.36275862068965514,0.36275862068965514,A_TO_B,1,ONE_DIRECTION_VALID
pseg_73d08ed8f8958e84,8a61892086a7fff,130.3,67.4,0.4650805832693784,0.0,69.7,PROVISIONAL_MAPPLS_NON_TRAFFIC,0.4650805832693784,0.2325402916346892,A_TO_B,2,BOTH_DIRECTIONS_VALID
pseg_ba91fe092e03c491,8a6189219ceffff,86.6,,0.0,,88.1,PROVISIONAL_MAPPLS_NON_TRAFFIC,0.0,0.0,A_TO_B,1,ONE_DIRECTION_VALID
pseg_aa4e158b504adf86,8a618920ac1ffff,95.3,89.6,0.12801678908709346,0.0725446428571429,83.1,PROVISIONAL_MAPPLS_NON_TRAFFIC,0.12801678908709346,0.10028071597211818,A_TO_B,2,BOTH_DIRECTIONS_VALID
pseg_227e1676bf7bcf79,8a6189218a07fff,110.5,,0.3085972850678732,,76.4,PROVISIONAL_MAPPLS_NON_TRAFFIC,0.3085972850678732,0.3085972850678732,A_TO_B,1,ONE_DIRECTION_VALID
