physical_segment_id,directed_segment_id,h3_res10,direction,endpoint_a_latitude,endpoint_a_longitude,endpoint_b_latitude,endpoint_b_longitude,route_distance_m,route_duration_reference_s,reference_duration_source,route_geometry,route_midpoint_latitude,route_midpoint_longitude,midpoint_distance_from_h3_m,route_intersects_or_near_h3,route_detour_ratio,snap_used,snap_status,route_status,segment_status,segment_quality_score,segment_algorithm_version,road_name,locality,sub_locality,formatted_address,segment_created_at,historical_station,normalized_propensity,corrected_rank,phase2_run_id,phase3_run_id
pseg_9f55ab9f9a6e5ca1,pseg_9f55ab9f9a6e5ca1_A_TO_B,8a6189208687fff,A_TO_B,12.951849,77.719211,12.951352,77.715486,443.8,124.0,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.71921, 12.95185], [77.7182, 12.95181], [77.71777, 12.95179], [77.7175, 12.95178], [77.71751, 12.9516], [77.71695, 12.95159], [77.71639, 12.95159], [77.71603, 12.95156], [77.71547, 12.95151], [77.71549, 12.95135]]}",12.95159720888073,77.71735369732089,50.63615544305257,True,1.0892692017408454,True,SNAPPED,OK,VALID,0.957247,phase3-seg-v1,Sai Baba Temple Road,Munnekolala,Green Garden Layout,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",2026-06-22T19:09:18.652441+05:30,WHITEFIELD,0.16900486222795535,479.0,20260622_132248_phase2,20260622_190858_phase3
pseg_9f55ab9f9a6e5ca1,pseg_9f55ab9f9a6e5ca1_B_TO_A,8a6189208687fff,B_TO_A,12.951352,77.715486,12.951849,77.719211,443.8,124.0,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.71921, 12.95185], [77.7182, 12.95181], [77.71777, 12.95179], [77.7175, 12.95178], [77.71751, 12.9516], [77.71695, 12.95159], [77.71639, 12.95159], [77.71603, 12.95156], [77.71547, 12.95151], [77.71549, 12.95135]]}",12.95159720888073,77.71735369732089,50.63615544305257,True,1.0892692017408454,True,SNAPPED,OK,VALID,0.957247,phase3-seg-v1,Sai Baba Temple Road,Munnekolala,Green Garden Layout,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",2026-06-22T19:09:18.652441+05:30,WHITEFIELD,0.16900486222795535,479.0,20260622_132248_phase2,20260622_190858_phase3
pseg_e735117b2316ace0,pseg_e735117b2316ace0_A_TO_B,8a61892191b7fff,A_TO_B,12.986401,77.735579,12.986016,77.732222,451.6,169.0,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73558, 12.9864], [77.73558, 12.9864], [77.73547, 12.9864], [77.73541, 12.9864], [77.73535, 12.98642], [77.73525, 12.98648], [77.7349, 12.98648], [77.73448, 12.98648], [77.73387, 12.98649], [77.73369, 12.98649], [77.73364, 12.98649], [77.73359, 12.98649], [77.73358, 12.98587], [77.73355, 12.98585], [77.73352, 12.98583], [77.73266, 12.98583], [77.73256, 12.98586], [77.73248, 12.98591], [77.73241, 12.98602], [77.73238, 12.98609], [77.7323, 12.98605], [77.73222, 12.98602], [77.73222, 12.98602]]}",12.986419798053628,77.73358886771055,33.90670426015711,True,1.2330543357401385,True,SNAPPED,OK,VALID,0.955462,phase3-seg-v1,,Whitefield,EOIZ Industrial Area,"Pattandur Agrahara Road, Harman Campus, EOIZ Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:20.458659+05:30,WHITEFIELD,0.16519508899941443,523.0,20260622_132248_phase2,20260622_190858_phase3
pseg_e735117b2316ace0,pseg_e735117b2316ace0_B_TO_A,8a61892191b7fff,B_TO_A,12.986016,77.732222,12.986401,77.735579,451.6,169.0,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73558, 12.9864], [77.73558, 12.9864], [77.73547, 12.9864], [77.73541, 12.9864], [77.73535, 12.98642], [77.73525, 12.98648], [77.7349, 12.98648], [77.73448, 12.98648], [77.73387, 12.98649], [77.73369, 12.98649], [77.73364, 12.98649], [77.73359, 12.98649], [77.73358, 12.98587], [77.73355, 12.98585], [77.73352, 12.98583], [77.73266, 12.98583], [77.73256, 12.98586], [77.73248, 12.98591], [77.73241, 12.98602], [77.73238, 12.98609], [77.7323, 12.98605], [77.73222, 12.98602], [77.73222, 12.98602]]}",12.986419798053628,77.73358886771055,33.90670426015711,True,1.2330543357401385,True,SNAPPED,OK,VALID,0.955462,phase3-seg-v1,,Whitefield,EOIZ Industrial Area,"Pattandur Agrahara Road, Harman Campus, EOIZ Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:20.458659+05:30,WHITEFIELD,0.16519508899941443,523.0,20260622_132248_phase2,20260622_190858_phase3
pseg_acba30a5f68a000a,pseg_acba30a5f68a000a_A_TO_B,8a618920a987fff,A_TO_B,12.956608,77.734229,12.956074,77.730105,451.3,46.7,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73423, 12.95661], [77.73413, 12.95659], [77.73345, 12.95648], [77.73291, 12.95639], [77.73243, 12.95631], [77.73195, 12.95624], [77.73146, 12.95618], [77.73097, 12.95613], [77.73033, 12.95609], [77.73011, 12.95607]]}",12.956273369780568,77.73217882135246,35.29077931591038,True,1.0010630155492903,True,SNAPPED,OK,VALID,0.977997,phase3-seg-v1,HAL Airport Road,Siddapura,Miraya Rose,"HAL Airport Road, Miraya Rose, Siddapura, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:22.516552+05:30,WHITEFIELD,0.14827104301486752,788.0,20260622_132248_phase2,20260622_190858_phase3
pseg_acba30a5f68a000a,pseg_acba30a5f68a000a_B_TO_A,8a618920a987fff,B_TO_A,12.956074,77.730105,12.956608,77.734229,451.3,46.7,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.73423, 12.95661], [77.73413, 12.95659], [77.73345, 12.95648], [77.73291, 12.95639], [77.73243, 12.95631], [77.73195, 12.95624], [77.73146, 12.95618], [77.73097, 12.95613], [77.73033, 12.95609], [77.73011, 12.95607]]}",12.956273369780568,77.73217882135246,35.29077931591038,True,1.0010630155492903,True,SNAPPED,OK,VALID,0.977997,phase3-seg-v1,HAL Airport Road,Siddapura,Miraya Rose,"HAL Airport Road, Miraya Rose, Siddapura, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:22.516552+05:30,WHITEFIELD,0.14827104301486752,788.0,20260622_132248_phase2,20260622_190858_phase3
pseg_76fe0e93a649fdef,pseg_76fe0e93a649fdef_A_TO_B,8a6189218867fff,A_TO_B,12.985032,77.753003,12.981127,77.751898,452.3,37.9,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.753, 12.98503], [77.75287, 12.98467], [77.75269, 12.98424], [77.75252, 12.98381], [77.75249, 12.98372], [77.75227, 12.98311], [77.75221, 12.98277], [77.75211, 12.98223], [77.75201, 12.98169], [77.75197, 12.98146], [77.7519, 12.98113], [77.7519, 12.98113]]}",12.98312667603585,77.75227601430801,28.973538759128925,True,1.0041722758329201,True,SNAPPED,OK,VALID,0.980921,phase3-seg-v1,Whitefield Main Road,Whitefield,Hope Farm Circle,"Whitefield Main Road, Hope Farm Circle, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:25.126394+05:30,WHITEFIELD,0.14765743506841456,810.0,20260622_132248_phase2,20260622_190858_phase3
pseg_76fe0e93a649fdef,pseg_76fe0e93a649fdef_B_TO_A,8a6189218867fff,B_TO_A,12.981127,77.751898,12.985032,77.753003,452.3,37.9,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.753, 12.98503], [77.75287, 12.98467], [77.75269, 12.98424], [77.75252, 12.98381], [77.75249, 12.98372], [77.75227, 12.98311], [77.75221, 12.98277], [77.75211, 12.98223], [77.75201, 12.98169], [77.75197, 12.98146], [77.7519, 12.98113], [77.7519, 12.98113]]}",12.98312667603585,77.75227601430801,28.973538759128925,True,1.0041722758329201,True,SNAPPED,OK,VALID,0.980921,phase3-seg-v1,Whitefield Main Road,Whitefield,Hope Farm Circle,"Whitefield Main Road, Hope Farm Circle, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:25.126394+05:30,WHITEFIELD,0.14765743506841456,810.0,20260622_132248_phase2,20260622_190858_phase3
pseg_6f970560a7f33afa,pseg_6f970560a7f33afa_A_TO_B,8a618921d497fff,A_TO_B,12.983613,77.753356,12.980534,77.751778,458.6,38.8,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.75336, 12.98361], [77.75321, 12.98363], [77.75249, 12.98372], [77.75227, 12.98311], [77.75221, 12.98277], [77.75211, 12.98223], [77.75201, 12.98169], [77.75197, 12.98146], [77.7519, 12.98113], [77.75178, 12.98055], [77.75178, 12.98053]]}",12.982556972540191,77.75217055047041,51.35433379290404,True,1.1983612751636106,True,SNAPPED,OK,VALID,0.944573,phase3-seg-v1,Channasandra Main Road,Whitefield,HM Tech Park,"Whitefield Main Road, HM Tech Park, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:29.018535+05:30,WHITEFIELD,0.1435117831959798,895.0,20260622_132248_phase2,20260622_190858_phase3
pseg_6f970560a7f33afa,pseg_6f970560a7f33afa_B_TO_A,8a618921d497fff,B_TO_A,12.980534,77.751778,12.983613,77.753356,458.6,38.8,route_adv,"{""type"": ""LineString"", ""coordinates"": [[77.75336, 12.98361], [77.75321, 12.98363], [77.75249, 12.98372], [77.75227, 12.98311], [77.75221, 12.98277], [77.75211, 12.98223], [77.75201, 12.98169], [77.75197, 12.98146], [77.7519, 12.98113], [77.75178, 12.98055], [77.75178, 12.98053]]}",12.982556972540191,77.75217055047041,51.35433379290404,True,1.1983612751636106,True,SNAPPED,OK,VALID,0.944573,phase3-seg-v1,Channasandra Main Road,Whitefield,HM Tech Park,"Whitefield Main Road, HM Tech Park, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2026-06-22T19:09:29.018535+05:30,WHITEFIELD,0.1435117831959798,895.0,20260622_132248_phase2,20260622_190858_phase3
