h3_res10,centroid_latitude,centroid_longitude,historical_station,mode_police_station,citation_count,device_days,normalized_propensity,corrected_rank,spatial_test_status,mode_junction,candidate_tier,selection_rank,selection_reason,inside_demo_bbox,region_validation_status,region_exclusion_reason,reverse_geocoded_locality,reverse_geocoded_sub_locality,formatted_address,phase2_run_id,phase3_run_id,generated_at
8a61892191a7fff,12.985467972485885,77.73325726755544,WHITEFIELD,WHITEFIELD,9,5,0.1386833318540078,1018.0,TESTED,NO JUNCTION,PRIMARY,11,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,EOIZ Industrial Area,"Pattandur Agrahara Road, Harman Campus, EOIZ Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920e98ffff,12.941549764152652,77.74756666418075,WHITEFIELD,WHITEFIELD,21,9,0.13786449908381193,1062.0,TESTED,NO JUNCTION,PRIMARY,12,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Varthur Marattahalli,KSRTC Travel House Junction,"Varthur Main Road, KSRTC Travel House Junction, Varthur Marattahalli, Bengaluru, Karnataka. Pin-560087 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d8d7fff,12.966151832465815,77.74859589509492,WHITEFIELD,WHITEFIELD,8,5,0.135687912382995,1107.0,TESTED,NO JUNCTION,PRIMARY,13,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,Sobha Rose Apartment,"Sri Bhuvaneshwari Road, Sobha Rose Apartment, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d1a7fff,12.970425977414243,77.74987569746924,WHITEFIELD,WHITEFIELD,23,10,0.13546440333614057,1155.0,TESTED,NO JUNCTION,PRIMARY,14,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,HBK Layout,"Whitefield Main Road, HBK Layout, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920ac07fff,12.963003084325381,77.73347171431551,WHITEFIELD,WHITEFIELD,16,8,0.133042723459248,1222.0,TESTED,NO JUNCTION,PRIMARY,15,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,Balaji Layout,"Nallurahalli Road, Balaji Layout, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d127fff,12.967219154093742,77.74921724281242,WHITEFIELD,WHITEFIELD,16,8,0.133042723459248,1223.0,TESTED,NO JUNCTION,PRIMARY,16,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,Vaswani Pinnacle,"Whitefield Main Road, Vaswani Pinnacle, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920a98ffff,12.956594767193758,77.73095010501815,WHITEFIELD,WHITEFIELD,10,6,0.13282382936720685,1248.0,TESTED,NO JUNCTION,PRIMARY,17,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Siddapura,,"Nallurahalli Road, Siddapura, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920868ffff,12.951306921408849,77.71579270258273,WHITEFIELD,WHITEFIELD,7,5,0.13269249291198215,1281.0,TESTED,NO JUNCTION,PRIMARY,18,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Munnekolala,Green Garden Layout,"Sai Baba Temple Road, Pavani Visista, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d427fff,12.976839641663496,77.75119266235325,WHITEFIELD,WHITEFIELD,7,5,0.13269249291198215,1283.0,TESTED,NO JUNCTION,PRIMARY,19,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,Inner Valley,"Whitefield Main Road, Inner Valley, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921dc4ffff,12.969353809785959,77.75045996405305,WHITEFIELD,WHITEFIELD,18,9,0.1307700845472026,1342.0,TESTED,NO JUNCTION,PRIMARY,20,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,Whitefield,Sathya Sai Layout,"1st Cross Road, Meersab Compound, Sathya Sai Layout, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
