h3_res10,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,spatial_hotspot_label
8a60145b2857fff,24,32,4,False,TESTED,-2.7756389014697445,0.03,0.23902570507684484,NOT_HOT
8a60145b2867fff,24,32,5,False,TESTED,-2.216926866884174,0.047,0.2858842877317066,NOT_HOT
8a60145b286ffff,24,32,5,False,TESTED,-0.7874347056521552,0.191,0.4196298499605549,NOT_HOT
8a60145b2887fff,24,32,3,False,TESTED,1.0368017146446937,0.047,0.2858842877317066,NOT_SIGNIFICANT
8a60145b2897fff,24,32,2,False,TESTED,0.5824260328378048,0.462,0.4963970936127823,NOT_SIGNIFICANT
8a60145b28a7fff,24,32,3,False,TESTED,0.47404490372144337,0.443,0.49057437164209067,NOT_SIGNIFICANT
8a60145b28b7fff,24,32,3,False,TESTED,1.0368017146446937,0.203,0.4246053163789305,NOT_SIGNIFICANT
8a60145b28c7fff,24,32,3,False,TESTED,-0.14459693227444909,0.299,0.46722716839703277,NOT_HOT
8a60145b28dffff,24,32,1,False,TESTED,0.5952170926544887,0.408,0.4873234322649205,NOT_SIGNIFICANT
8a60145b28e7fff,24,32,4,False,TESTED,-1.0884104598515272,0.345,0.4763977469467535,NOT_HOT
8a60145b28effff,24,32,3,False,TESTED,-1.3831969777345277,0.047,0.2858842877317066,NOT_HOT
8a60145b290ffff,24,32,1,False,TESTED,0.22844982791756563,0.408,0.4873234322649205,NOT_SIGNIFICANT
8a60145b2947fff,24,32,4,False,TESTED,0.04678187557222779,0.454,0.49347461280027,NOT_SIGNIFICANT
8a60145b294ffff,24,32,5,False,TESTED,-1.0665853150963194,0.178,0.4151351516311233,NOT_HOT
8a60145b295ffff,24,32,3,False,TESTED,-0.8737445445177788,0.185,0.4167100283236748,NOT_HOT
8a60145b2967fff,24,32,3,False,TESTED,0.40021694719381734,0.493,0.4996789244567456,NOT_SIGNIFICANT
8a60145b296ffff,24,32,3,False,TESTED,0.043826454410442126,0.461,0.49613744714451413,NOT_SIGNIFICANT
8a60145b2a47fff,1,2121,5,False,TESTED,1.6043788276628874,0.241,0.4442730057441076,NOT_SIGNIFICANT
8a60145b2a4ffff,1,2121,6,False,TESTED,0.39706703890171363,0.178,0.4151351516311233,NOT_SIGNIFICANT
